*k1	k2	time	date	store
3.000000	9.000000	379.000793	2001-01-13 19:00:00 -0500	3.674649
3.000000	9.000000	380.000854	2001-01-14 19:00:00 -0500	1.975474
3.000000	9.000000	381.000916	2001-01-15 19:00:00 -0500	1.022533
3.000000	9.000000	382.000977	2001-01-16 19:00:00 -0500	0.511516
3.000000	9.000000	383.001038	2001-01-17 19:00:00 -0500	0.248111
3.000000	9.000000	384.001099	2001-01-18 19:00:00 -0500	0.117029
3.000000	9.000000	385.001160	2001-01-19 19:00:00 -0500	0.053815
5.000000	1.000000	366.000000	2000-12-31 19:00:00 -0500	100.000000
5.000000	1.000000	367.000061	2001-01-01 19:00:00 -0500	90.432159
5.000000	1.000000	368.000122	2001-01-02 19:00:00 -0500	81.570740
5.000000	1.000000	369.000183	2001-01-03 19:00:00 -0500	72.766693
5.000000	1.000000	370.000244	2001-01-04 19:00:00 -0500	63.567566
5.000000	1.000000	371.000305	2001-01-05 19:00:00 -0500	54.028885
5.000000	1.000000	372.000366	2001-01-06 19:00:00 -0500	44.566139
5.000000	1.000000	373.000427	2001-01-07 19:00:00 -0500	35.683563
5.000000	1.000000	374.000488	2001-01-08 19:00:00 -0500	27.781338
5.000000	1.000000	375.000549	2001-01-09 19:00:00 -0500	21.079874
5.000000	1.000000	376.000610	2001-01-10 19:00:00 -0500	15.627232
5.000000	1.000000	377.000671	2001-01-11 19:00:00 -0500	11.345469
5.000000	1.000000	378.000732	2001-01-12 19:00:00 -0500	8.084062
5.000000	1.000000	379.000793	2001-01-13 19:00:00 -0500	5.664268
5.000000	1.000000	380.000854	2001-01-14 19:00:00 -0500	3.909364
5.000000	1.000000	381.000916	2001-01-15 19:00:00 -0500	2.661745
5.000000	1.000000	382.000977	2001-01-16 19:00:00 -0500	1.790168
5.000000	1.000000	383.001038	2001-01-17 19:00:00 -0500	1.190656
5.000000	1.000000	384.001099	2001-01-18 19:00:00 -0500	0.783935
5.000000	1.000000	385.001160	2001-01-19 19:00:00 -0500	0.511399
5.000000	3.000000	366.000000	2000-12-31 19:00:00 -0500	100.000000
5.000000	3.000000	367.000061	2001-01-01 19:00:00 -0500	99.717133
5.000000	3.000000	368.000122	2001-01-02 19:00:00 -0500	97.644478
5.000000	3.000000	369.000183	2001-01-03 19:00:00 -0500	92.495331
5.000000	3.000000	370.000244	2001-01-04 19:00:00 -0500	83.872154
5.000000	3.000000	371.000305	2001-01-05 19:00:00 -0500	72.431061
5.000000	3.000000	372.000366	2001-01-06 19:00:00 -0500	59.542957
5.000000	3.000000	373.000427	2001-01-07 19:00:00 -0500	46.705688
5.000000	3.000000	374.000488	2001-01-08 19:00:00 -0500	35.088902
5.000000	3.000000	375.000549	2001-01-09 19:00:00 -0500	25.353384
5.000000	3.000000	376.000610	2001-01-10 19:00:00 -0500	17.690237
5.000000	3.000000	377.000671	2001-01-11 19:00:00 -0500	11.964348
5.000000	3.000000	378.000732	2001-01-12 19:00:00 -0500	7.869646
5.000000	3.000000	379.000793	2001-01-13 19:00:00 -0500	5.049059
5.000000	3.000000	380.000854	2001-01-14 19:00:00 -0500	3.167898
5.000000	3.000000	381.000916	2001-01-15 19:00:00 -0500	1.948092
5.000000	3.000000	382.000977	2001-01-16 19:00:00 -0500	1.176446
5.000000	3.000000	383.001038	2001-01-17 19:00:00 -0500	0.698872
5.000000	3.000000	384.001099	2001-01-18 19:00:00 -0500	0.409008
5.000000	3.000000	385.001160	2001-01-19 19:00:00 -0500	0.236125
5.000000	5.000000	366.000000	2000-12-31 19:00:00 -0500	100.000000
5.000000	5.000000	367.000061	2001-01-01 19:00:00 -0500	99.987251
5.000000	5.000000	368.000122	2001-01-02 19:00:00 -0500	99.485405
5.000000	5.000000	369.000183	2001-01-03 19:00:00 -0500	96.886169
5.000000	5.000000	370.000244	2001-01-04 19:00:00 -0500	90.556473
5.000000	5.000000	371.000305	2001-01-05 19:00:00 -0500	80.139397
5.000000	5.000000	372.000366	2001-01-06 19:00:00 -0500	66.759094
5.000000	5.000000	373.000427	2001-01-07 19:00:00 -0500	52.342274
5.000000	5.000000	374.000488	2001-01-08 19:00:00 -0500	38.745159
5.000000	5.000000	375.000549	2001-01-09 19:00:00 -0500	27.200987
5.000000	5.000000	376.000610	2001-01-10 19:00:00 -0500	18.201767
5.000000	5.000000	377.000671	2001-01-11 19:00:00 -0500	11.665607
5.000000	5.000000	378.000732	2001-01-12 19:00:00 -0500	7.192942
5.000000	5.000000	379.000793	2001-01-13 19:00:00 -0500	4.284028
5.000000	5.000000	380.000854	2001-01-14 19:00:00 -0500	2.473341
5.000000	5.000000	381.000916	2001-01-15 19:00:00 -0500	1.388521
5.000000	5.000000	382.000977	2001-01-16 19:00:00 -0500	0.760047
5.000000	5.000000	383.001038	2001-01-17 19:00:00 -0500	0.406615
5.000000	5.000000	384.001099	2001-01-18 19:00:00 -0500	0.213053
5.000000	5.000000	385.001160	2001-01-19 19:00:00 -0500	0.109535
5.000000	7.000000	366.000000	2000-12-31 19:00:00 -0500	100.000000
5.000000	7.000000	367.000061	2001-01-01 19:00:00 -0500	99.993538
